date,node,reach_id,pred,se
2023-05-20,69,44240400101,-0.000173319630063293,0.00843721247438434
2023-05-20,70,44240400111,-0.00021391728142257,0.00864516031113398
2023-05-20,71,44240400121,-0.000263528261261918,0.00894759791993729
2023-05-20,72,44240400131,-0.000335606770193532,0.00947099974269712
2023-05-20,73,44240400541,-0.000421710797793128,0.0102061516185286
2023-05-20,74,44240400551,-0.000530193290406179,0.0112666207323462
2023-05-20,75,44240400561,1.14842929011595e-05,0.0608480829740848
2023-05-20,76,44240400171,-0.000840977062184019,0.0091448866045965
2023-05-20,77,44240400181,-0.00106032504773001,0.00968120260794049
2023-05-20,78,44240400191,-0.00394764241479922,0.00910753690286595
2023-05-20,79,44240400201,-0.0127895321862479,0.0122575647032871
2023-05-20,80,44240400211,-0.0194305756443679,0.0192461301756375
2023-05-20,81,44240200011,0.000189612623615136,0.00799659983340703
2023-05-20,82,44240200021,0.000186965203589049,0.00799895680779546
2023-05-20,83,44240200031,0.000210148179527127,0.00800338762146387
2023-05-20,84,44240200041,0.000271523649141846,0.00800895427807815
2023-05-20,85,44240200051,0.0003821733731739,0.00801477706492306
2023-05-20,86,44240200061,0.000505775934273394,0.00801650427072085
2023-05-20,87,44240200071,0.00062627039698522,0.00801307626362019
2023-05-20,88,44240200081,0.000778271315032989,0.00800091044174517
2023-05-20,89,44240200091,0.000970690274280482,0.00797191764933185
2023-05-20,90,44240200101,0.00121254654203597,0.00791220093449891
2023-05-20,91,44240200111,0.0015155300802408,0.00779782506639255
2023-05-20,92,44240200211,0.018483372781873,0.0180077620783759
2023-05-20,93,44240200861,0.0233641068550216,0.0188738973590759
2023-05-20,94,44240200971,0.0471404427172551,0.0179782288005127
2023-05-20,95,44240200881,0.037301408477091,0.0189818680967974
2023-05-20,96,44240200981,0.0599258726587579,0.0170281948582868
2023-05-20,97,44240200991,0.076156493268584,0.0195318149289186
2023-05-20,98,44240201001,0.0951125267610471,0.030306503395618
2023-05-20,99,44240201011,0.119565754335634,0.0503771220794823
2023-05-20,100,44240200121,-0.000963197566743103,0.00781864312170736
2023-05-20,101,44240200131,-0.0012835804692031,0.00769587295261835
2023-05-20,102,44240200141,-0.00186180711117232,0.00742118467812729
2023-05-20,103,44240200221,-0.00226722594680078,0.00719956748464556
2023-05-20,104,44240200231,-0.00267798315397586,0.00733523706668204
2023-05-20,105,44240200351,-0.00318380532600646,0.00788142106461005
2023-05-20,106,44240200361,-0.00207795711637276,0.00762456559701589
2023-05-20,107,44240200371,-0.00185469795077055,0.00866363773638413
2023-05-20,108,44240200381,-0.00084258662843062,0.0087746722271982
2023-05-20,109,44240200391,0.000339164060846307,0.00929244497163649
2023-05-20,110,44240200401,0.00223145054884928,0.0097584828210556
2023-05-20,111,44240200411,0.00612690507070993,0.00910694338169994
2023-05-20,112,44240200421,0.0103519699898545,0.00871707556011011
2023-05-20,113,44240200431,0.015159793256601,0.00877926747927644
2023-05-20,114,44240200531,0.0566810285047773,0.0191787173275361
2023-05-20,115,44240200541,0.0789972340080891,0.0369038138575141
2023-05-20,116,44240200441,0.00767689241159084,0.0110651918216543
2023-05-20,117,44240200461,0.0124792378466288,0.0161954083411742
2023-05-20,118,44240200454,0.00779524042882496,0.0111770679711185
2023-05-20,119,44240200261,0.00206891976093518,0.0108961361746081
2023-05-20,120,44240200551,0.0101962807855207,0.0086619486391414
2023-05-20,121,44240200561,0.0106804763515678,0.00936581981891925
2023-05-20,122,44240200571,0.011255003774791,0.0112209125782308
2023-05-20,123,44240200581,0.0121973868244743,0.0144475098831938
2023-05-20,124,44240200601,0.0140207418471185,0.0182615628963596
2023-05-20,125,44240200594,0.0122522010804768,0.0145885813923192
2023-05-20,126,44240200621,0.0193332452077227,0.0261160223239437
2023-05-20,127,44240200614,0.0141021567482565,0.0184057907357036
2023-05-20,128,44240200631,0.0281500716992224,0.0370864355468243
2023-05-20,129,44240200641,0.0421653227784092,0.0542060518036234
2023-05-20,130,44240200271,-0.00458500900755166,0.0256703449375955
2023-05-20,131,44240200281,-0.00563683037324244,0.0320930811520136
2023-05-20,132,44240200301,-0.0104486175475436,0.0605140034531204
2023-05-20,133,44240200291,-0.00753691136685339,0.0434092154297972
2023-05-20,134,44230000811,0.00153662046049746,0.00776663402887161
2023-05-20,135,44240200871,0.0295179664444177,0.019266749882258
2023-05-20,136,44230000801,0.00122299854704023,0.00786367207096919
2023-05-20,137,44230000791,0.000973066651899684,0.00792255932561617
2023-05-20,138,44230000681,0.000774529819020412,0.00795737824815926
2023-05-20,139,44230000671,0.000616435131998768,0.00797742136853811
2023-05-20,140,,0.000490379312174238,0.00798851665735976
2023-05-25,1,44230000831,-0.00109968334525588,0.0251373253830215
2023-05-25,2,44230000821,-0.00109968141578221,0.0251372826473413
