x,time,se
-0.00349136742530815,2023-05-05,0.0185662718638089
-0.00369121340049902,2023-05-10,0.0182646342648401
-0.0038910593756899,2023-05-15,0.0159623798855415
-3.09066272222348e-05,2023-05-20,0.0167762934548476
-0.00139674220314513,2023-05-25,0.0208973505757606
-0.00276257777906803,2023-05-30,0.0236820223508362
-0.00412841335499093,2023-06-04,0.0255707017248444
-0.00549424893091382,2023-06-09,0.0267538235269765
-0.00686008450683672,2023-06-14,0.0273231960513485
-0.00822592008275962,2023-06-19,0.0273172233974181
-0.00959175565868251,2023-06-24,0.0267355199755802
-0.0109575912346054,2023-06-29,0.0255387753253958
-0.0123234268105283,2023-07-04,0.0236337416507337
-0.0136892623864512,2023-07-09,0.0208269567206155
-0.0130521699703722,2023-07-14,0.0240094630475809
-0.0124150775542931,2023-07-19,0.0263260815962766
-0.0117779851382141,2023-07-24,0.0279926221598546
-0.011140892722135,2023-07-29,0.0291209080446482
-0.010503800306056,2023-08-03,0.0297721974683636
-0.00986670788997693,2023-08-08,0.0299775960616512
-0.00922961547389789,2023-08-13,0.0297463418921675
-0.00859252305781884,2023-08-18,0.0290680152932018
-0.00795543064173979,2023-08-23,0.0279100382836681
-0.00731833822566075,2023-08-28,0.0262089112268276
-0.0066812458095817,2023-09-02,0.0238486872843254
-0.00604415339350266,2023-09-07,0.0206040969097231
-0.00597569690969754,2023-09-12,0.0233365446901537
-0.00590724042589243,2023-09-17,0.0251169513641346
-0.00583878394208731,2023-09-22,0.0261405736877283
-0.0057703274582822,2023-09-27,0.0264952704979831
-0.00570187097447708,2023-10-02,0.0262082151994661
-0.00563341449067197,2023-10-07,0.0252575364646721
-0.00556495800686685,2023-10-12,0.0235630467412312
-0.00549650152306173,2023-10-17,0.0209449901966351
-0.00542804503925662,2023-10-22,0.0169814450529784
-0.0109856874342527,2023-10-27,0.015145834783841
-0.020101197772654,2023-11-01,0.0147367093780852
-0.029118114742263,2023-11-06,0.0164401299833573
-0.0381350317118719,2023-11-11,0.0155895177810403
-0.0442394540289921,2023-11-16,0.0172398302859271
-0.0503438763461123,2023-11-21,0.0164686609818403
-0.0543694879015137,2023-11-26,0.0188380562231439
-0.0583950994569151,2023-12-01,0.0193720631607791
-0.0624207110123164,2023-12-06,0.0182326685115329
-0.0664463225677178,2023-12-11,0.0150443501722411
-0.0642948821461099,2023-12-16,0.0141437239105985
-0.0741321810930936,2023-12-21,0.0134808849640324
-0.0781286276622655,2023-12-26,0.0133712342641628
-0.087410508454436,2023-12-31,0.0136946912669289
-0.0907198952883182,2024-01-05,0.0138072983221119
-0.0946032086915911,2024-01-10,0.0145828291579628
-0.095864639068619,2024-01-15,0.0162740046259972
-0.0971260694456468,2024-01-20,0.0148911061310384
-0.094846808128601,2024-01-25,0.0142678501027976
-0.0922522875088032,2024-01-30,0.01444939087565
-0.0767764846522643,2024-02-04,0.0133473445085292
-0.0652583199586335,2024-02-09,0.0141338357366623
-0.0686930828616499,2024-02-14,0.0133091233044587
-0.0653412961296129,2024-02-19,0.0133552209228805
-0.0729199142745438,2024-02-24,0.0165813066857382
-0.0593267228399472,2024-02-29,0.0151223396667832
-0.0350305614425391,2024-03-05,0.014208633816442
-0.0208475881454354,2024-03-10,0.0161297441025333
-0.00666461484833167,2024-03-15,0.0151485215557532
0.00106621446555639,2024-03-20,0.0144697918339609
0.00931708944419115,2024-03-25,0.0150954349240039
0.0133549235854051,2024-03-30,0.0164538141390939
0.0173927577266191,2024-04-04,0.0147847998355145
0.0202046703982466,2024-04-09,0.014367069268884
0.0172003566490791,2024-04-14,0.0136925401826557
0.0118873760824017,2024-04-19,0.0136969336858297
0.0115228813596598,2024-04-24,0.0144266979880497
0.0112847372883328,2024-04-29,0.0166083743085527
